config,concurrency_or_tokens,metric,value,unit,notes
v13-1M-ksched,1,decode_agg,90.7,tok/s,knee.sh mean of pairs 1+2 2026-09-14 18:02/18:27 CDT; same-window v12 control mean 90.6 (+0.1%)
v13-1M-ksched,2,decode_agg,127.2,tok/s,knee.sh mean of pairs 1+2 2026-09-14 18:02/18:27 CDT; same-window v12 control mean 127.1 (+0.1%)
v13-1M-ksched,4,decode_agg,223.4,tok/s,knee.sh mean of pairs 1+2 2026-09-14 18:02/18:27 CDT; same-window v12 control mean 175.8 (+27.0%)
v13-1M-ksched,8,decode_agg,319.1,tok/s,knee.sh mean of pairs 1+2 2026-09-14 18:02/18:27 CDT; same-window v12 control mean 252.6 (+26.3%)
v13-1M-ksched,12,decode_agg,339.3,tok/s,knee.sh mean of pairs 1+2 2026-09-14 18:02/18:27 CDT; same-window v12 control mean 266.5 (+27.3%)
v13-1M-ksched,16,decode_agg,429.0,tok/s,knee.sh mean of pairs 1+2 2026-09-14 18:02/18:27 CDT; same-window v12 control mean 318.8 (+34.6%)
v13-1M-ksched,1,decode_prose,99.4,tok/s,agent_fixture.sh mean of pairs 1+2; accept 0.30; C1 runs at k=5 under the schedule so unchanged from v12 except tool_json -7% both pairs
v13-1M-ksched,1,decode_shell_ops,162.8,tok/s,agent_fixture.sh mean of pairs 1+2; accept 0.91; C1 runs at k=5 under the schedule so unchanged from v12 except tool_json -7% both pairs
v13-1M-ksched,1,decode_code,156.3,tok/s,agent_fixture.sh mean of pairs 1+2; accept 0.64; C1 runs at k=5 under the schedule so unchanged from v12 except tool_json -7% both pairs
v13-1M-ksched,1,decode_tool_json,146.7,tok/s,agent_fixture.sh mean of pairs 1+2; accept 0.88; C1 runs at k=5 under the schedule so unchanged from v12 except tool_json -7% both pairs
v13-1M-ksched,1,decode_structured,124.7,tok/s,agent_fixture.sh mean of pairs 1+2; accept 0.49; C1 runs at k=5 under the schedule so unchanged from v12 except tool_json -7% both pairs
v12-1M-k5-off60-util97,6456,decode_at_depth,123.81,tok/s,depth_knee.py v2 streamed first->last token C1 2026-09-14 18:15 CDT; 212K value is a repetitive-continuation artifact
v12-1M-k5-off60-util97,53095,decode_at_depth,117.32,tok/s,depth_knee.py v2 streamed first->last token C1 2026-09-14 18:15 CDT; 212K value is a repetitive-continuation artifact
v12-1M-k5-off60-util97,106137,decode_at_depth,114.34,tok/s,depth_knee.py v2 streamed first->last token C1 2026-09-14 18:15 CDT; 212K value is a repetitive-continuation artifact
v12-1M-k5-off60-util97,212264,decode_at_depth,183.56,tok/s,depth_knee.py v2 streamed first->last token C1 2026-09-14 18:15 CDT; 212K value is a repetitive-continuation artifact
v12-1M-k5-off60-util97,424726,decode_at_depth,121.75,tok/s,depth_knee.py v2 streamed first->last token C1 2026-09-14 18:15 CDT; 212K value is a repetitive-continuation artifact
