pair,profile,phase,turn_count,completion_tokens,wall_s,aggregate_completion_tok_s
1,v14,replay-initial,300,87824,375.2776613349997,234.02405484935593
1,v14,replay-repeat,300,85767,325.67900252000254,263.3482641999076
1,v13,replay-initial,300,86881,440.7190709120041,197.13465047067828
1,v13,replay-repeat,300,87121,398.08293811899784,218.851379091151
2,v13,replay-initial,300,86457,441.1524529730086,195.9798691299349
2,v13,replay-repeat,300,87601,402.27851874098997,217.76206264795005
2,v14,replay-initial,300,88769,385.5647067359969,230.23113487610198
2,v14,replay-repeat,300,86585,335.22014209700865,258.29295178492987
3,v14,replay-initial,300,87886,380.5205643540103,230.9625503399519
3,v14,replay-repeat,300,84950,327.30900190700777,259.54067717372243
3,v13,replay-initial,300,88792,454.46526093200373,195.3768695497386
3,v13,replay-repeat,300,86997,401.1953220709984,216.8445024506153
