config,concurrency_or_tokens,metric,value,unit,notes
v15a,1,decode_agg,153.4959307725,tok/s,"knee.sh prose (Write a detailed paragraph about the number N), temperature 0, ignore_eos, 192 tokens; window v15a invocation v15a-r1; per-stream 153.495931; max-num-seqs 16 so C16 is slot-capped; max_running_requests unset; raw v15a-knee-r1.json"
v15a,2,decode_agg,269.3120098695,tok/s,"knee.sh prose (Write a detailed paragraph about the number N), temperature 0, ignore_eos, 192 tokens; window v15a invocation v15a-r1; per-stream 134.656005; max-num-seqs 16 so C16 is slot-capped; max_running_requests unset; raw v15a-knee-r1.json"
v15a,4,decode_agg,405.6002988419,tok/s,"knee.sh prose (Write a detailed paragraph about the number N), temperature 0, ignore_eos, 192 tokens; window v15a invocation v15a-r1; per-stream 101.400075; max-num-seqs 16 so C16 is slot-capped; max_running_requests unset; raw v15a-knee-r1.json"
v15a,8,decode_agg,704.5667945396,tok/s,"knee.sh prose (Write a detailed paragraph about the number N), temperature 0, ignore_eos, 192 tokens; window v15a invocation v15a-r1; per-stream 88.070849; max-num-seqs 16 so C16 is slot-capped; max_running_requests unset; raw v15a-knee-r1.json"
v15a,12,decode_agg,803.7811908663,tok/s,"knee.sh prose (Write a detailed paragraph about the number N), temperature 0, ignore_eos, 192 tokens; window v15a invocation v15a-r1; per-stream 66.981766; max-num-seqs 16 so C16 is slot-capped; max_running_requests unset; raw v15a-knee-r1.json"
v15a,16,decode_agg,952.5804838668,tok/s,"knee.sh prose (Write a detailed paragraph about the number N), temperature 0, ignore_eos, 192 tokens; window v15a invocation v15a-r1; per-stream 59.536280; max-num-seqs 16 so C16 is slot-capped; max_running_requests unset; raw v15a-knee-r1.json"
v15a,1,decode_agg,153.2887472132,tok/s,"knee.sh prose (Write a detailed paragraph about the number N), temperature 0, ignore_eos, 192 tokens; window v15a invocation v15a-r2; per-stream 153.288747; max-num-seqs 16 so C16 is slot-capped; max_running_requests unset; raw v15a-knee-r2.json"
v15a,2,decode_agg,270.2825920207,tok/s,"knee.sh prose (Write a detailed paragraph about the number N), temperature 0, ignore_eos, 192 tokens; window v15a invocation v15a-r2; per-stream 135.141296; max-num-seqs 16 so C16 is slot-capped; max_running_requests unset; raw v15a-knee-r2.json"
v15a,4,decode_agg,413.0726588353,tok/s,"knee.sh prose (Write a detailed paragraph about the number N), temperature 0, ignore_eos, 192 tokens; window v15a invocation v15a-r2; per-stream 103.268165; max-num-seqs 16 so C16 is slot-capped; max_running_requests unset; raw v15a-knee-r2.json"
v15a,8,decode_agg,701.5795817900,tok/s,"knee.sh prose (Write a detailed paragraph about the number N), temperature 0, ignore_eos, 192 tokens; window v15a invocation v15a-r2; per-stream 87.697448; max-num-seqs 16 so C16 is slot-capped; max_running_requests unset; raw v15a-knee-r2.json"
v15a,12,decode_agg,809.4877502329,tok/s,"knee.sh prose (Write a detailed paragraph about the number N), temperature 0, ignore_eos, 192 tokens; window v15a invocation v15a-r2; per-stream 67.457313; max-num-seqs 16 so C16 is slot-capped; max_running_requests unset; raw v15a-knee-r2.json"
v15a,16,decode_agg,956.7114567479,tok/s,"knee.sh prose (Write a detailed paragraph about the number N), temperature 0, ignore_eos, 192 tokens; window v15a invocation v15a-r2; per-stream 59.794466; max-num-seqs 16 so C16 is slot-capped; max_running_requests unset; raw v15a-knee-r2.json"
