config,concurrency_or_tokens,metric,value,unit,notes
v15ctl-k1,1,decode_agg,153.1541,tok/s,"knee.sh prose (Write a detailed paragraph about the number N), temperature 0, ignore_eos, 192 tokens; max-num-seqs per config (v15 16, v16 32, v17/v18 24); max_running_requests unset; window v16; raw v16/knee-v15ctl-k1.json"
v15ctl-k1,2,decode_agg,268.9003,tok/s,"knee.sh prose (Write a detailed paragraph about the number N), temperature 0, ignore_eos, 192 tokens; max-num-seqs per config (v15 16, v16 32, v17/v18 24); max_running_requests unset; window v16; raw v16/knee-v15ctl-k1.json"
v15ctl-k1,4,decode_agg,413.4551,tok/s,"knee.sh prose (Write a detailed paragraph about the number N), temperature 0, ignore_eos, 192 tokens; max-num-seqs per config (v15 16, v16 32, v17/v18 24); max_running_requests unset; window v16; raw v16/knee-v15ctl-k1.json"
v15ctl-k1,8,decode_agg,699.5546,tok/s,"knee.sh prose (Write a detailed paragraph about the number N), temperature 0, ignore_eos, 192 tokens; max-num-seqs per config (v15 16, v16 32, v17/v18 24); max_running_requests unset; window v16; raw v16/knee-v15ctl-k1.json"
v15ctl-k1,12,decode_agg,804.3678,tok/s,"knee.sh prose (Write a detailed paragraph about the number N), temperature 0, ignore_eos, 192 tokens; max-num-seqs per config (v15 16, v16 32, v17/v18 24); max_running_requests unset; window v16; raw v16/knee-v15ctl-k1.json"
v15ctl-k1,16,decode_agg,952.2420,tok/s,"knee.sh prose (Write a detailed paragraph about the number N), temperature 0, ignore_eos, 192 tokens; max-num-seqs per config (v15 16, v16 32, v17/v18 24); max_running_requests unset; window v16; raw v16/knee-v15ctl-k1.json"
v15ctl-k2,1,decode_agg,153.3916,tok/s,"knee.sh prose (Write a detailed paragraph about the number N), temperature 0, ignore_eos, 192 tokens; max-num-seqs per config (v15 16, v16 32, v17/v18 24); max_running_requests unset; window v16; raw v16/knee-v15ctl-k2.json"
v15ctl-k2,2,decode_agg,270.4883,tok/s,"knee.sh prose (Write a detailed paragraph about the number N), temperature 0, ignore_eos, 192 tokens; max-num-seqs per config (v15 16, v16 32, v17/v18 24); max_running_requests unset; window v16; raw v16/knee-v15ctl-k2.json"
v15ctl-k2,4,decode_agg,406.3511,tok/s,"knee.sh prose (Write a detailed paragraph about the number N), temperature 0, ignore_eos, 192 tokens; max-num-seqs per config (v15 16, v16 32, v17/v18 24); max_running_requests unset; window v16; raw v16/knee-v15ctl-k2.json"
v15ctl-k2,8,decode_agg,704.2719,tok/s,"knee.sh prose (Write a detailed paragraph about the number N), temperature 0, ignore_eos, 192 tokens; max-num-seqs per config (v15 16, v16 32, v17/v18 24); max_running_requests unset; window v16; raw v16/knee-v15ctl-k2.json"
