2026-09-20 08:09:37 CDT power-pre v19a: 600.71 W, 1300.00 W, 2070 MHz, 3996 MHz, 46, 0x0000000000000000
2026-09-20 08:28:46 CDT power-post v19a: 454.66 W, 1300.00 W, 2070 MHz, 3996 MHz, 48, 0x0000000000000000
2026-09-20 08:34:30 CDT power-ref: 206.42 W, 1300.00 W, 2070 MHz, 3996 MHz, 37, 0x0000000000000000
2026-09-20 08:35:23 CDT power-pre v18ctl9: 639.30 W, 1300.00 W, 2070 MHz, 3996 MHz, 48, 0x0000000000000000
2026-09-20 08:54:26 CDT power-post v18ctl9: 456.48 W, 1300.00 W, 2070 MHz, 3996 MHz, 48, 0x0000000000000000
2026-09-20 09:04:05 CDT power-pre v19b: 569.30 W, 1300.00 W, 2070 MHz, 3996 MHz, 45, 0x0000000000000000
2026-09-20 09:23:29 CDT power-post v19b: 455.78 W, 1300.00 W, 2070 MHz, 3996 MHz, 49, 0x0000000000000000
2026-09-20 09:32:10 CDT power-pre ASYNC: 318.23 W, 1300.00 W, 2070 MHz, 3996 MHz, 39, 0x0000000000000000
2026-09-20 09:34:33 CDT power-post ASYNC: 553.12 W, 1300.00 W, 2070 MHz, 3996 MHz, 47, 0x0000000000000000
2026-09-20 09:40:16 CDT power-ref: 207.46 W, 1300.00 W, 2070 MHz, 3996 MHz, 38, 0x0000000000000000
2026-09-20 09:40:16 CDT power-pre v18ctl10: 207.46 W, 1300.00 W, 2070 MHz, 3996 MHz, 38, 0x0000000000000000
2026-09-20 09:42:39 CDT power-post v18ctl10: 565.46 W, 1300.00 W, 2070 MHz, 3996 MHz, 49, 0x0000000000000000
2026-09-20 09:48:10 CDT power-end: 207.07 W, 1300.00 W, 2070 MHz, 3996 MHz, 38, 0x0000000000000000
