| metric | v18 | v19 | delta | bar |
|---|---|---|---|---|
| BFCL all exact-match | 0.9333 | 0.9317 | -0.16 pt | >= v18-1pt PASS |
| BFCL simple_python exact-match | 0.94 | 0.935 | -0.5 pt | >= v18-1pt PASS |
| BFCL multiple exact-match | 0.92 | 0.925 | 0.5 pt | >= v18-1pt PASS |
| accept tool_json | 0.878 | 0.838 | -4.0 pt | within 2 pt FAIL |
| accept shell_ops | 0.908 | 0.829 | -7.9 pt | within 2 pt FAIL |
| accept prose | 0.349 | 0.336 | -1.3 pt | within 2 pt (info) |
| accept structured | 0.525 | 0.492 | -3.3 pt | within 2 pt (info) |
| accept code | 0.661 | 0.65 | -1.1 pt | within 2 pt (info) |
| no-call cases | 1 | 2 | | |
| errors | 0 | 0 | | |
