PID,TID,DevId,Count,QCount,TAvg (ns),TMed (ns),TMin (ns),TMax (ns),TStdDev (ns),AAvg (ns),AMed (ns),AMin (ns),AMax (ns),AStdDev (ns),QAvg (ns),QMed (ns),QMin (ns),QMax (ns),QStdDev (ns),KAvg (ns),KMed (ns),KMin (ns),KMax (ns),KStdDev (ns),API Name,Kernel Name
412,412,0,4,4,224474303.0,222262725.0,218671818,234699944,7273704.1,10720.0,10992.0,9184,11712,1119.8,224462207.0,222249845.0,218661194,234687944,7273479.3,1376.0,1360.0,1344,1440,45.3,cudaLaunchKernel,"void at::native::vectorized_elementwise_kernel<(int)8, at::native::AUnaryFunctor<long, long, bool, at::native::<unnamed>::CompareEqFunctor<long>>, std::array<char *, (unsigned long)2>>(int, T2, T3)"
412,412,0,4,4,224418031.0,222200309.0,218622218,234649288,7275522.0,7072.0,7056.0,5856,8320,1094.6,224407271.0,222188597.0,218612778,234639112,7275564.2,3688.0,3696.0,3584,3776,88.1,cudaLaunchKernel,"void at::native::elementwise_kernel<(int)128, (int)4, void at::native::gpu_kernel_impl_nocast<at::native::<unnamed>::where_kernel_impl(at::TensorIterator &)::[lambda() (instance 1)]::operator ()() const::[lambda() (instance 2)]::operator ()() const::[lambda(bool, unsigned short, unsigned short) (instance 1)]>(at::TensorIteratorBase &, const T1 &)::[lambda(int) (instance 1)]>(int, T3)"
412,412,0,4,4,224284047.0,222064981.0,218500298,234505928,7268239.1,8496.0,8832.0,6816,9504,1168.6,224273687.0,222054037.0,218491626,234495048,7267578.2,1864.0,1856.0,1824,1920,40.3,cudaLaunchKernel,"void at::native::<unnamed>::CatArrayBatchedCopy_vectorized<at::native::<unnamed>::OpaqueType<(unsigned int)2>, unsigned int, (int)2, (int)128, (int)1, (int)16, (int)8>(char *, at::native::<unnamed>::CatArrInputTensorMetadata<T1, T2, T4, T5>, at::native::<unnamed>::TensorSizeStride<T2, (unsigned int)4>, int, T2)"
412,412,0,4,4,223470807.0,221462517.0,218042090,232916104,6723043.0,5384.0,5232.0,4416,6656,957.3,222817311.0,220817685.0,217402058,232231816,6704475.9,648112.0,639760.0,633600,679328,21283.0,cuLaunchKernelEx,bmm_Bfloat16_Bfloat16Bfloat16_Fp32_t128x32x128_s5_et128x32_m128x32x16_c1x1x1_rM_BN_transOut_schPd2x1x2x3_bN_rgTma_clmp_dynB_sm100f
412,412,0,4,4,222838791.0,220839749.0,217422890,232252776,6704160.0,7216.0,7136.0,6464,8128,846.4,221547879.0,219565717.0,216159722,230900360,6666954.4,1283696.0,1266976.0,1254944,1345888,42679.7,cuLaunchKernelEx,bmm_Bfloat16_Bfloat16Bfloat16_Fp32_t128x32x128_s4_et128x32_m128x32x16_c1x1x1_rM_BN_transOut_schPd2x1x2x3_bN_ldgsts_ldgstsSf_rgTma_clmp_swiGlu_dynB_sm100f
412,412,0,5,5,179554387.0,219912922.0,11043,234669256,100565307.8,7840.0,7328.0,7008,8864,913.0,179545644.6,219903162.0,2723,234661160,100565085.4,902.4,928.0,736,992,99.7,cudaLaunchKernel,"void at::native::vectorized_elementwise_kernel<(int)8, at::native::FillFunctor<c10::BFloat16>, std::array<char *, (unsigned long)1>>(int, T2, T3)"
412,412,0,308,308,164227837.2,187623072.5,8006366,245699912,69091195.1,6384.0,6080.0,4416,20576,1714.7,164219766.0,187614736.5,7995486,245693096,69091688.5,1687.2,1664.0,1568,2080,99.0,cudaLaunchKernel,"void at::native::vectorized_elementwise_kernel<(int)8, at::native::CUDAFunctor_add<c10::BFloat16>, std::array<char *, (unsigned long)3>>(int, T2, T3)"
412,412,0,304,304,163868310.6,186226318.5,8477630,246071208,69192264.8,4289.7,4160.0,3392,15072,1019.2,163859180.7,186217486.5,8464318,246062728,69192553.7,4840.2,4832.0,4448,7648,355.1,cudaLaunchKernelExC_v11060,"void moe::dev::finalize::finalizeKernelVecLoad<moe::dev::finalize::KernelParams<cutlass::bfloat16_t, cutlass::bfloat16_t, (int)4, (bool)1>>(T1)"
412,412,0,79,79,163550366.7,190828933.0,25987,245454824,79572617.0,9877.9,9248.0,6752,25984,2575.7,163524726.6,190804197.0,1283,245429000,79573392.2,15762.2,15712.0,14336,16800,448.6,cuLaunchKernelEx,nvjet_sm103_tst_128x64_64x8_4x1_v_bz_TNT
412,412,0,304,304,163481649.2,185876414.5,8044542,245723688,69207750.9,10880.2,10880.0,8320,20480,1488.7,163469162.1,185865198.5,8028094,245712776,69208062.6,1606.9,1600.0,1536,2336,78.8,cudaLaunchKernel,"void at::native::vectorized_elementwise_kernel<(int)8, at::native::AUnaryFunctor<c10::BFloat16, c10::BFloat16, c10::BFloat16, at::native::binary_internal::MulFunctor<float>>, std::array<char *, (unsigned long)2>>(int, T2, T3)"
