run_id,config,metric,concurrency,value,unit,spread,method,source
k1-256k-gate,k1-256k,decode_tok_s_median,1,51.5,tok/s,0.48%,speed_reps.py 8x512 3 scored reps + discarded warm,k1-256k-gate/speed-reps.json
k1-256k-gate,k1-256k,ttft_median,1,0.498,s,,streamed first content/reasoning delta,k1-256k-gate/speed-reps.json
k1-256k-gate,k1-256k,decode_tok_s_prose,1,54.01,tok/s,0.01%,per-prompt median of 3,k1-256k-gate/speed-reps.json
k1-256k-gate,k1-256k,decode_tok_s_prose,1,50.83,tok/s,0.17%,per-prompt median of 3,k1-256k-gate/speed-reps.json
k1-256k-gate,k1-256k,decode_tok_s_code,1,49.93,tok/s,0.02%,per-prompt median of 3,k1-256k-gate/speed-reps.json
k1-256k-gate,k1-256k,decode_tok_s_code,1,52.13,tok/s,0.02%,per-prompt median of 3,k1-256k-gate/speed-reps.json
k1-256k-gate,k1-256k,decode_tok_s_reason,1,54.6,tok/s,0.03%,per-prompt median of 3,k1-256k-gate/speed-reps.json
k1-256k-gate,k1-256k,decode_tok_s_reason,1,50.87,tok/s,0.03%,per-prompt median of 3,k1-256k-gate/speed-reps.json
k1-256k-gate,k1-256k,decode_tok_s_list,1,56.59,tok/s,0.48%,per-prompt median of 3,k1-256k-gate/speed-reps.json
k1-256k-gate,k1-256k,decode_tok_s_dialog,1,50.22,tok/s,0.01%,per-prompt median of 3,k1-256k-gate/speed-reps.json
k2-256k-gate,k2-256k,decode_tok_s_median,1,52.92,tok/s,0.04%,speed_reps.py 8x512 3 scored reps + discarded warm,k2-256k-gate/speed-reps.json
k2-256k-gate,k2-256k,ttft_median,1,0.507,s,,streamed first content/reasoning delta,k2-256k-gate/speed-reps.json
k2-256k-gate,k2-256k,decode_tok_s_prose,1,52.87,tok/s,0.02%,per-prompt median of 3,k2-256k-gate/speed-reps.json
k2-256k-gate,k2-256k,decode_tok_s_prose,1,49.88,tok/s,0.03%,per-prompt median of 3,k2-256k-gate/speed-reps.json
k2-256k-gate,k2-256k,decode_tok_s_code,1,52.97,tok/s,0.01%,per-prompt median of 3,k2-256k-gate/speed-reps.json
k2-256k-gate,k2-256k,decode_tok_s_code,1,53.81,tok/s,0.01%,per-prompt median of 3,k2-256k-gate/speed-reps.json
k2-256k-gate,k2-256k,decode_tok_s_reason,1,60.46,tok/s,0.01%,per-prompt median of 3,k2-256k-gate/speed-reps.json
k2-256k-gate,k2-256k,decode_tok_s_reason,1,51.17,tok/s,0.02%,per-prompt median of 3,k2-256k-gate/speed-reps.json
k2-256k-gate,k2-256k,decode_tok_s_list,1,59.79,tok/s,0.04%,per-prompt median of 3,k2-256k-gate/speed-reps.json
k2-256k-gate,k2-256k,decode_tok_s_dialog,1,51.76,tok/s,0.00%,per-prompt median of 3,k2-256k-gate/speed-reps.json
needle-8000-single,k1-256k,prefill_tok_s_upper,1,3100,tok/s,,needle_ladder.py single pt=7057 pass=True,k1-256k-gate/needle-ladder.jsonl
needle-8000-multi,k1-256k,prefill_tok_s_upper,1,2324,tok/s,,needle_ladder.py multi pt=7218 pass=True,k1-256k-gate/needle-ladder.jsonl
needle-8000-distractor,k1-256k,prefill_tok_s_upper,1,3172,tok/s,,needle_ladder.py distractor pt=7205 pass=True,k1-256k-gate/needle-ladder.jsonl
needle-32000-single,k1-256k,prefill_tok_s_upper,1,3303,tok/s,,needle_ladder.py single pt=28351 pass=True,k1-256k-gate/needle-ladder.jsonl
needle-32000-multi,k1-256k,prefill_tok_s_upper,1,2991,tok/s,,needle_ladder.py multi pt=28336 pass=True,k1-256k-gate/needle-ladder.jsonl
needle-32000-distractor,k1-256k,prefill_tok_s_upper,1,3286,tok/s,,needle_ladder.py distractor pt=28312 pass=True,k1-256k-gate/needle-ladder.jsonl
needle-64000-single,k1-256k,prefill_tok_s_upper,1,3550,tok/s,,needle_ladder.py single pt=56501 pass=True,k1-256k-gate/needle-ladder.jsonl
needle-64000-multi,k1-256k,prefill_tok_s_upper,1,3362,tok/s,,needle_ladder.py multi pt=56563 pass=True,k1-256k-gate/needle-ladder.jsonl
needle-64000-distractor,k1-256k,prefill_tok_s_upper,1,3529,tok/s,,needle_ladder.py distractor pt=56440 pass=True,k1-256k-gate/needle-ladder.jsonl
needle-128000-single,k1-256k,prefill_tok_s_upper,1,3528,tok/s,,needle_ladder.py single pt=112632 pass=True,k1-256k-gate/needle-ladder.jsonl
needle-128000-multi,k1-256k,prefill_tok_s_upper,1,3427,tok/s,,needle_ladder.py multi pt=112783 pass=True,k1-256k-gate/needle-ladder.jsonl
needle-128000-distractor,k1-256k,prefill_tok_s_upper,1,3504,tok/s,,needle_ladder.py distractor pt=113035 pass=True,k1-256k-gate/needle-ladder.jsonl
needle-192000-single,k1-256k,prefill_tok_s_upper,1,3486,tok/s,,needle_ladder.py single pt=169195 pass=True,k1-256k-gate/needle-ladder.jsonl
needle-192000-multi,k1-256k,prefill_tok_s_upper,1,3417,tok/s,,needle_ladder.py multi pt=169593 pass=True,k1-256k-gate/needle-ladder.jsonl
needle-192000-distractor,k1-256k,prefill_tok_s_upper,1,3470,tok/s,,needle_ladder.py distractor pt=169355 pass=True,k1-256k-gate/needle-ladder.jsonl
needle-240000-single,k1-256k,prefill_tok_s_upper,1,3452,tok/s,,needle_ladder.py single pt=211289 pass=True,k1-256k-gate/needle-ladder.jsonl
needle-240000-multi,k1-256k,prefill_tok_s_upper,1,3407,tok/s,,needle_ladder.py multi pt=211372 pass=True,k1-256k-gate/needle-ladder.jsonl
needle-240000-distractor,k1-256k,prefill_tok_s_upper,1,3436,tok/s,,needle_ladder.py distractor pt=211815 pass=True,k1-256k-gate/needle-ladder.jsonl
