-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                   execute_context_0(0)_generation_1(1)         0.00%       0.000us         0.00%       0.000us       0.000us        1.659s        93.41%        1.659s      26.331ms            63  
void marlin_moe_wna16::Marlin<1125899906909960l, 562...         0.00%       0.000us         0.00%       0.000us       0.000us        1.110s        62.48%        1.110s      62.819us         17664  
void cutlass::device_kernel<vllm::cutlass_3x_gemm_fp...         0.00%       0.000us         0.00%       0.000us       0.000us     165.288ms         9.31%     165.288ms      35.870us          4608  
         nvjet_sm103_tst_64x8_64x16_2x1_v_bz_splitK_TNT         0.00%       0.000us         0.00%       0.000us       0.000us     162.055ms         9.12%     162.055ms      36.173us          4480  
                   execute_context_1(7)_generation_0(0)         0.00%       0.000us         0.00%       0.000us       0.000us     159.630ms         8.99%     159.630ms     159.630ms             1  
                          _moe_C::moe_wna16_marlin_gemm         0.45%       8.106ms         1.15%      20.765ms      75.234us      71.445ms         4.02%      71.445ms     258.858us           276  
kernel_cutlass_kernel_vllmvllm_flash_attncuteflash_f...         0.00%       0.000us         0.00%       0.000us       0.000us      47.135ms         2.65%      47.135ms      10.521us          4480  
void vllm::moe::moe_sum_vec_kernel<c10::BFloat16, in...         0.00%       0.000us         0.00%       0.000us       0.000us      38.547ms         2.17%      38.547ms       4.364us          8832  
void vllm::rms_norm_per_block_quant_kernel<c10::BFlo...         0.00%       0.000us         0.00%       0.000us       0.000us      37.780ms         2.13%      37.780ms       8.433us          4480  
void vllm::moe::moe_align_block_size_kernel<int>(int...         0.00%       0.000us         0.00%       0.000us       0.000us      31.056ms         1.75%      31.056ms       3.516us          8832  
void cublasLt::splitKreduce_kernel<32, 16, int, floa...         0.00%       0.000us         0.00%       0.000us       0.000us      27.270ms         1.54%      27.270ms       3.065us          8896  
                                               aten::mm         0.34%       6.175ms         0.51%       9.196ms      45.301us      24.610ms         1.39%      24.610ms     121.230us           203  
        nvjet_sm103_tst_32x64_64x16_4x1_v_bz_splitK_TNN         0.00%       0.000us         0.00%       0.000us       0.000us      21.677ms         1.22%      21.677ms       4.909us          4416  
                nvjet_sm103_tst_512x8_64x3_2x1_v_bz_TNT         0.00%       0.000us         0.00%       0.000us       0.000us      21.300ms         1.20%      21.300ms     332.815us            64  
void vllm::act_and_mul_kernel<c10::BFloat16, __nv_bf...         0.00%       0.000us         0.00%       0.000us       0.000us      16.943ms         0.95%      16.943ms       1.918us          8832  
void vllm::moe::single_group_topk::detail::single_gr...         0.00%       0.000us         0.00%       0.000us       0.000us      15.706ms         0.88%      15.706ms       3.557us          4416  
